239,Jhansi ,UTTAR PRADESH
240,Jhunjhunun ,RAJASTHAN
241,Jind ,HARYANA
242,Jodhpur ,RAJASTHAN
243,Junagadh ,GUJARAT
244,Kadapa ,ANDHRA PRADESH
245,Kaithal ,HARYANA
246,Kakinada ,ANDHRA PRADESH
247,Kalol ,GUJARAT
248,Kalyani ,WEST BENGAL
249,Kamarhati ,WEST BENGAL
250,Kancheepuram ,TAMIL NADU
251,Kanchrapara ,WEST BENGAL
252,Kanpur ,UTTAR PRADESH
253,Kanpur City,UTTAR PRADESH
254,Karaikkudi ,TAMIL NADU
255,Karawal Nagar ,NCT OF DELHI
256,Karimnagar ,ANDHRA PRADESH
257,Karnal ,HARYANA
258,Kasganj ,UTTAR PRADESH
259,Kashipur ,UTTARAKHAND
260,Katihar ,BIHAR
261,Khammam ,ANDHRA PRADESH
262,Khandwa ,MADHYA PRADESH
263,Khanna ,PUNJAB
264,Kharagpur ,WEST BENGAL
265,Khardaha ,WEST BENGAL
266,Khargone ,MADHYA PRADESH
267,Khora ,UTTAR PRADESH
268,Khurja ,UTTAR PRADESH
269,Kirari Suleman Nagar ,NCT OF DELHI
270,Kishanganj ,BIHAR
271,Kishangarh ,RAJASTHAN
272,Kochi ,KERALA
273,Kolar ,KARNATAKA
274,Kolhapur ,MAHARASHTRA
275,Kolkata ,WEST BENGAL
276,Kollam ,KERALA
277,Korba ,CHHATTISGARH
278,Kota ,RAJASTHAN
279,Kozhikode ,KERALA
280,Krishnanagar ,WEST BENGAL
281,Kulti ,WEST BENGAL
282,Kumbakonam ,TAMIL NADU
283,Kurichi ,TAMIL NADU
284,Kurnool ,ANDHRA PRADESH
285,Lakhimpur ,UTTAR PRADESH
286,Lalitpur ,UTTAR PRADESH
287,Latur ,MAHARASHTRA
288,Loni ,UTTAR PRADESH
289,Lucknow ,UTTAR PRADESH
290,Ludhiana ,PUNJAB
291,Machilipatnam ,ANDHRA PRADESH
292,Madanapalle ,ANDHRA PRADESH
293,Madavaram ,TAMIL NADU
294,Madhyamgram ,WEST BENGAL
295,Madurai ,TAMIL NADU
296,Mahbubnagar ,ANDHRA PRADESH
297,Mahesana ,GUJARAT
298,Maheshtala ,WEST BENGAL
299,Mainpuri ,UTTAR PRADESH
300,Malegaon ,MAHARASHTRA
301,Malerkotla ,PUNJAB
302,Mandoli ,NCT OF DELHI
303,Mandsaur ,MADHYA PRADESH
304,Mandya ,KARNATAKA
305,Mangalore ,KARNATAKA
306,Mango ,JHARKHAND
307,Mathura ,UTTAR PRADESH
308,Maunath Bhanjan ,UTTAR PRADESH
309,Medinipur ,WEST BENGAL
310,Meerut ,UTTAR PRADESH
311,Mira Bhayander ,MAHARASHTRA
312,Miryalaguda ,ANDHRA PRADESH
313,Mirzapur-cum-Vindhyachal ,UTTAR PRADESH
314,Modinagar ,UTTAR PRADESH
315,Moga ,PUNJAB
316,Moradabad ,UTTAR PRADESH
317,Morena ,MADHYA PRADESH
318,Morvi ,GUJARAT
319,Motihari ,BIHAR
320,Mughalsarai ,UTTAR PRADESH
321,Muktsar ,PUNJAB
322,Munger ,BIHAR
323,Murwara ,MADHYA PRADESH
324,Mustafabad ,NCT OF DELHI
325,Muzaffarnagar ,UTTAR PRADESH
326,Muzaffarpur ,BIHAR
327,Mysore ,KARNATAKA
328,Nabadwip ,WEST BENGAL
329,Nadiad ,GUJARAT
330,Nagaon ,ASSAM
331,Nagapattinam ,TAMIL NADU
332,Nagaur ,RAJASTHAN
333,Nagda ,MADHYA PRADESH
334,Nagercoil ,TAMIL NADU
335,Nagpur ,MAHARASHTRA
336,Naihati ,WEST BENGAL
337,Nalgonda ,ANDHRA PRADESH
338,Nanded Waghala ,MAHARASHTRA
339,Nandurbar ,MAHARASHTRA
340,Nandyal ,ANDHRA PRADESH
341,Nangloi Jat ,NCT OF DELHI
342,Narasaraopet ,ANDHRA PRADESH
343,Nashik ,MAHARASHTRA
344,Navi Mumbai ,MAHARASHTRA
345,Navi Mumbai Panvel Raigarh ,MAHARASHTRA
346,Navsari ,GUJARAT
347,Neemuch ,MADHYA PRADESH
348,Nellore ,ANDHRA PRADESH
349,New Delhi ,NCT OF DELHI
350,Neyveli ,TAMIL NADU
351,Nizamabad ,ANDHRA PRADESH
352,Noida ,UTTAR PRADESH
353,North Barrackpur ,WEST BENGAL
354,North Dum Dum ,WEST BENGAL
355,Ongole ,ANDHRA PRADESH
356,Orai ,UTTAR PRADESH
357,Osmanabad ,MAHARASHTRA
358,Ozhukarai ,PUDUCHERRY
359,Palakkad ,KERALA
360,Palanpur ,GUJARAT
361,Pali ,RAJASTHAN
362,Pallavaram ,TAMIL NADU
363,Palwal ,HARYANA
364,Panchkula ,HARYANA
365,Panihati ,WEST BENGAL
366,Panipat ,HARYANA
367,Panvel ,MAHARASHTRA
368,Parbhani ,MAHARASHTRA
369,Patan ,GUJARAT
370,Pathankot ,PUNJAB
371,Patiala ,PUNJAB
372,Patna ,BIHAR
373,Pilibhit ,UTTAR PRADESH
374,Pimpri Chinchwad ,MAHARASHTRA
375,Pithampur ,MADHYA PRADESH
376,Porbandar ,GUJARAT
377,Port Blair ,ANDAMAN & NICOBAR ISLANDS
378,Proddatur ,ANDHRA PRADESH
379,Puducherry ,PUDUCHERRY
380,Pudukkottai ,TAMIL NADU
381,Pune ,MAHARASHTRA
382,Puri ,ORISSA
383,Purnia ,BIHAR
384,Puruliya ,WEST BENGAL
385,Rae Bareli ,UTTAR PRADESH
386,Raichur ,KARNATAKA
